comment,like,bad
"かなり安い金額提示だと思います。実際にダメージを受けた企業としては、信用下落という計り知れない損害と回転寿司というシステムへの信頼性、ひいては、日本の国民性や衛生的なイメージを破壊している。どうせ自己破産するだろうが、それくらいはなんとも思ってないんだろう。私は社会的な影響も鑑みて二億くらい請求しても安いと思っている。",11143,362
"金額の多寡ばかりが強調されがちだが，可能な限り「本人が被害者に直接賠償金を収める」ようにしてほしい。親が立て替えるのが現実的な方法ではあるが，やはり「親に返す」形では反省の心情が逓減されてしまう。何年かけても「自分が被害者に支払う」形の方が，反省の心情がそこまで喪われずに済むのではないだろうか。だから，真に加害者の人生を考えるのであれば，「金額を下げる」ことよりも「時間の猶予を与える」方が大切。「50年かけていいから，社会人になったら毎月10万円を直接支払い続けなさい」とするのが理想。但し，事件を起こしてしまうと就職に大きく影響することも考えると，机上の理想論に過ぎないが。",100,23
"この記事がもっともな意見だ。少年犯罪を見ても、未成年だ更生が大事だとか言って被害者は置き去りにされる。被害者の視点に立った報道は無いに等しいと思います。損害賠償額だって海外じゃ払う払えるは別にしても損失額を損害に見合った額で算定する。日本の裁判所は支払う側に立った減額算定に近いと思います。スシローの6700万円は決して高額な損害額とは思えません、かえって少ない位だと思います。",8055,152
"企業に迷惑行為を行ってSNSで拡散する行為がどういう意味なのか世に広めるきっかけとなるでしょう。某二世タレントが裏方業務をやらせて償わせれば良いみたいな事を言っていたがその程度で許されるなら被害は減らないだろう。家庭内教育も勿論だかスマホ所持に年齢制限が無い以上は義務教育の中でしっかりSNS運用含むITリテラシーの教育を行うべきだと思う。",324,7
"企業や社会が責任を負わせることが、同様の行為を減らすために有効です。テレビなどマスコミでは「学校での道徳教育を・・・」などとピントのズレたコメントがありますが、こういう人間は教師の言うことなど聞きませんし、しっかりとした態度で授業が聞ける子供はこんな事件は起こしません。最近頻発している強盗事件ついても、しっかりと報道し損害を受けた企業は訴訟を起こし、成功の可能性や捕まった時の重大性を認識させて思いとどまらせる必要があります。学校で教えるならば、「軽はずみな行動によって、重たいものを一生背負っていくんだよ」と言う事実だけだと思うのですが、この忠告も残念な子供たちの耳に入ることはありません。",865,16
"先日、強盗致傷で逮捕された19歳の少年は、同罪で7度目の逮捕との報道があった。同情する余地があれば「加害少年の将来も考えて」という気持ちにもなるが、明らかにそれを逆手にとって犯行に及んでいる輩がいる。今後は加害者の将来ではなく、再発や類似の防止の観点で考えていかなければならないのでは？",5155,54
"加害者擁護の論調は気にないくらいにしかないように感じます。本件は特に「人権」が関わることも無いですし、加害者の人格侵害のような事態にもなっていないと思いますので擁護するとしたら「子供の悪ふざけだから」というリベラルとは関係のない「犯罪軽視」の論調でしょうね。6700万円の賠償請求についても高すぎる、という論調も無いですし…他国なら規模が違うのはそうだと思いますが、別にマスコミに左右されて6700万円という金額に落ち着いたわけではないでしょうに。裁判所でどれだけの責任が認められるか、これにより他国との差を嘆くのは有りだと思います。",31,3
"正直昔から悪ふざけはありました。いけない事とわかっていてもそれが面白いと勘違いし皆に見せる。今はそれがSNSに載せる事しかしそれがどう言う事か分かっていない若者が沢山いる。やはりそれを周知する為にも今回のスシローの訴訟はありがたいです。安全安心して外食出来、そこで一生懸命働く方たちの為にも必要な事です",2956,48
"実際に受けた損害はもっと大きいはず。でも、何億も請求したところで、加害者が払える能力があるとも思えない。訴訟費用が高額になるだけ。一方で、見せしめではないが、こういうイタズラ、悪ふざけを防止するためには、損害賠償を請求されるということを世間に周知することも必要だと思う。そうすると、このくらいの金額を請求するのが妥当なのかもしれませんね。",2448,73
"スシローは、本来ならこの請求額でも生ぬるいという感じだと思います。働いている従業員とその家族の生活もかかっていますし、ましてや大手になれば影響はやはり大きくなります。今回の少年に対する損害賠償請求は、悪質な迷惑行為を行い企業に損害を出せば、大きい代償を支払わなければならなくなる事が伝わり、模倣抑止に一定の効果はあると思いますし、これぐらいは当たり前の措置だと思います。そして、保護者共々しっかり本当の意味での反省をした方が、少年の今後の為にも良いと思います。",1887,39
"そもそも加害者を庇い立てすること自体、間違っている。犯罪行為を助長するばかりか、逆に、被害者を追い詰めることにもなってします。加害者はあくまでも加害者。法に則って刑事、民事両面で責任追及されるのが、法治国家としての正しいあり方であろう。",1889,34
"株価とか暴落していたし受けた被害はこの金額以上でしょうからね、全店舗に見直しとか備品の取り換えとか色々あったとも思いますし、未成年だからで許されるならこのような犯罪が増えてしまうと思う、従業員の生活もかかっているのだしこれは単なるいたずらではなく犯罪なんだという事を身をもって知るべきだと思います。",393,14
"未成年だから御咎めなしはありえない。物事の善悪の判断ができない幼児ならともかく、親の教育も含めて人や社会に迷惑をかけてはいけないことくらい分かる年齢のはず。分かっていてやるの言語道断。加害者を守って被害者はどうでもいいのか。加害者には未成年であろうと罪を償い、被害者には損害を補償する。何年かかってでもいいのでこの少年と動画をとった友人も含めて、罪を償わせるべきだと思う。二度とこのような馬鹿げた動画が追随して出てこないことを祈ります。",1207,24
"迷惑動画は目に余るものがある。加害者がどれだけ請求されても被害者の損失を考えれば当然だと言える。しかも加害者は店にはそれ程の損失は出ていないと主張している。法的テクニックだろうが、とても反省してるとは思えない。これからこういう被害が出ない為にも、厳しく対処すべきだと思う。なお、賠償請求額と実際の司法判断による賠償額とはかなりかけ離れている事が多いというのは念頭に置いておいたほうがいいだろう。",937,19
"この少年が訴えられるのは当然としても、撮影した奴も同罪だろうあと、いつもこれ系の問題で思うのが、「プラットホームたるYouTubeは何の責任もとらないのか？」ということ自由に投稿させ、それで収益が得られるシステムを作り、また企業としてそこから収益を得ている以上、一定の管理責任はあると思うがまとめサイトの転載の著作権でも問題になったが、管理サイドも責任を負うべきだろう特に企業賠償となれば、個人で支払いきれるものでも無いのだから",1046,113
