comment,like,bad
"I am a middle school teacher. I feel that there is a need to transition club activities to the local area. There are so many areas for improvement: the number of students is decreasing year by year and many schools are not able to form independent teams, teachers are overloaded with overtime and not paid for it, and relationships with student parents are deteriorating because they are assigned to club activities in which they have no expertise at all. However, there are many municipalities that do not have leaders in the community. I think we should secure instructors even if it means some burden on families.",1170,149
"I am the director of a large sports facility. Recently, a basketball tournament for high school students in the prefecture and a table tennis tournament for high school students in the city were held. The teachers in charge arrive early in the morning to prepare for the tournaments. The tournament ended smoothly and without trouble thanks to the advisors' appropriate management and control of the players. Watching this, the staff and I discussed the fact that it would not have gone so smoothly if it had been local leaders instead of the teachers. For now, the goal is to separate the club activities from the teachers, but I am convinced that if we do not proceed carefully, trouble will occur one after another. I am really impressed with the work of the advisory teachers. I think it is really important that many students are guaranteed opportunities to play sports, but I think that the administration and committee members should study the field more carefully so that they do not give up on the project based on a desk plan.",282,129
"I think we have come to a conclusion as to whether we should continue to choose the path of ""no more people becoming teachers"" or the path of ""separating club activities from schools"". The state of affairs in which so many long hours of work have been performed by teachers for free until now is abnormal. We should start over from a clean slate and rethink who will be responsible for cultural and athletic activities for children and how costs will be shared.",785,48
"I agree in the sense that it will reduce the burden on the teachers. I think that teachers who wish to continue teaching should be allowed to do so, but they should be paid well, including new community instructors. Relying on volunteerism with no pay or low pay is irresponsible, and I think it will create new problems. (Not only this issue, but anyway, Japan should increase its budget for child-related activities much more.) I suppose there could be a form of transition to a comprehensive regional sports club like in Europe, but I think it would be difficult to do so immediately, so I think it would be better if the national government makes a plan and the transition is made in stages.",113,7
"Myself, I was a part of the school club activities. As for my children, they were heavily involved in local clubs, but they also participated in school club activities. This was because the school did not have the club activities that my children wanted to do. In the area where I live, there were 7-8 classes per grade when my child was in junior high school, but now I hear that there are only 4 classes per grade. I do not know the details, but I think that the number of club activities is also decreasing. I feel that the time has come to separate extracurricular activities from school in order for each student to engage in what he or she likes to do. However, this requires proper budgetary treatment. We think it may be time to switch to paid community clubs instead of free school club activities.",672,83
"I feel that only elementary and junior high schools are being promoted after the regional club activities. I would like to see high school club activities promoted more quickly as well. Club activities are voluntary activities of students, and there are teachers in the same workplace who want to provide guidance and teachers who do not want to provide guidance. Teachers who don't want to lead club activities sacrifice their families on weekends to lead club activities and organize games. Is this a terrible thing? At the end of the school year, the administration asks for advisor preferences. I would like you to listen to the opinions of those who do not want to be advisors. I would like you to give them to the national government or the Board of Education.",622,67
"I agree with the transition to the community. I would like to see lifelong sports, lifelong music, etc. promoted like club activities for all community residents, including adults, rather than separating them by age groups of elementary, middle, and high school. If there is a place where people of all ages, including children after returning home, adults after work, retired elderly people, and people with the same interests can gather and be active, I think the community will become more energetic and the educational capacity of the community will be enhanced. There are many people who could be saved by moving to the community, such as children who quit sports they have been following because there is no club they want to play in at school, teachers who are national-level kendo players but are forced to become advisors for the volleyball team, and adults who played in a brass band during school but cannot continue after getting a job. With the declining birth rate, it is expected to become increasingly difficult to compete and perform in group sports.",128,16
"The challenges are very many, but I believe this is the direction we should be moving in as we look to the future. Now that our children have grown up, we can afford to look back. Although the origin of this trend may be the elimination of overtime work for teachers, it has been a long time since the declining birthrate has made it difficult for schools to compete in athletic games and cultural club competitions. The unique Japanese culture of club activities, which is based on the assumption that the population is expanding, is very unique from the perspective of other countries, so we should not take the current situation for granted.",321,34
"Elementary school youth sports club activities were originally separated from the school. Junior high school club activities should be done in the same way. In youth sports clubs, the parents find the leaders. There is no way to have the administration find leaders. If they wish to do it themselves, those who want to do it should find their own leaders. By the way, the leaders of the youth sports clubs are volunteers who are not paid. If leaders are publicly rewarded for the transition of club activities to the local community, then the leaders of the youth sports clubs should be rewarded as well.",382,29
"As for the cost, I think it is just a matter of getting it right, as the cost that should be paid has simply been obscured by the labor service of the teachers. As for the point about transitioning to the community, I think it is a good idea to have more options and more possibilities to participate in club activities that one wants to do, as well as more possibilities to receive more specialized instruction. In a society with a declining birthrate, it may become difficult to maintain school-based club activities even in urban areas, and I hope that this trend will spread quickly.",199,13
"I am the mother of a child who is currently in high school 1 and elementary 6. When my older son was already in the club, we practiced 4 times a week, 2 hours on weekdays and 3 hours on either Saturday or Sunday. I didn't feel like I could get good at it with that kind of practice time, but still we had club activities, and basically because of the rule that you had to join something, I joined the tennis club even though I wasn't good at sports, and I worked hard for two and a half years, and I think it was a great experience. The rhythm of being able to do club activities for two hours after classes, go home in the evening, and go to cram school is very good for junior high school students. Otherwise, they would go home and look at their phones for the rest of their lives. I think that club activities during compulsory education are very important as a rite of passage in life. I hope that club activities will continue to exist under the control of the school.",22,69
"I think it is necessary for the government to support instructors by encouraging companies to allow them to have side jobs, and to take measures such as tax exemption for their income. Also, no one will want to become an instructor unless the parents agree that they will not be held responsible for any problems that occur during club activities. However, in order for teachers to be able to work on weekends, I think it is necessary to eliminate club activities for which there are not enough applicants.",265,36
"I am a school teacher. I have devoted myself to coaching club activities for about 25 years. Thanks to your support, we have been able to participate in national tournaments for both men and women. Now we have changed our policy and made it a ""club"" at school, with activities lasting about one hour four days a week, and we can take a break at any time. Then, surprisingly, many students joined the club by crossing over to outside clubs. For full-fledged activities, we started a local club team. For this purpose, I became a certified coach. Some students who were not satisfied with the club have also joined. The club team has attracted many students from youngsters to junior high school students. The cost was kept as low as possible, with only the cost of insurance, equipment, and supplies. We also participate in official games of the Junior High School Sports Federation as a club team. I feel that the parents are very interested in the program. We no longer get angry at them for teaching. Anyway, they say, ""Today was fun! I made progress! I try to end the day with ""I had fun today! Some high schools are even allowing us to use their gymnasiums.",123,9
"I belonged to a sports club in junior high and high school, not a club. This is because my school did not have any club activities that I wanted to do. In Europe, after school, each student goes to a local sports club and participates in sports activities. At the sports clubs, each student works on improving his or her own athletic skills and joining with the local community. After sports activities, the students go to a restaurant or other facilities to have a meal or go home. The disadvantages of club activities in Japan are (1) increased burden on teachers and (2) sports coaching by teachers who do not specialize in sports. If the burden on teachers increases, their motivation for club activities will decrease and daily classes will be interfered with. In addition, the lack of professional coaching staff makes it difficult to improve athletic performance, and delays in responding to injuries occur. I believe that now is the time for club reform and the opportunity to move club activities to the local community. I hope this post will be of some help.",140,8
